Permutation	rank_1	rank_2	rank_3	rank_4	rank_5	rank_6	rank_7	rank_8	rank_9	rank_10	rank_11	rank_12	rank_13	rank_14	rank_15	rank_16	rank_17	rank_18	rank_19	rank_20	rank_21	rank_22	rank_23	rank_24	rank_25	rank_26	rank_27	rank_28	rank_29	rank_30	rank_31	rank_32	rank_33	rank_34	rank_35	rank_36	rank_37	rank_38	rank_39	rank_40	rank_41	rank_42	rank_43	rank_44	rank_45	rank_46	rank_47	rank_48	rank_49	rank_50	rank_51	rank_52	rank_53	rank_54	rank_55	rank_56	rank_57	rank_58	rank_59	rank_60	rank_61	rank_62	rank_63	rank_64	rank_65	rank_66	rank_67	rank_68	rank_69	rank_70	rank_71	rank_72	rank_73	rank_74	rank_75	rank_76	rank_77	rank_78	rank_79	rank_80	rank_81	rank_82	rank_83	rank_84	rank_85	rank_86	rank_87	rank_88	rank_89	rank_90	rank_91	rank_92	rank_93	rank_94	rank_95	rank_96	rank_97	rank_98	rank_99	rank_100	rank_101	rank_102	rank_103	rank_104	rank_105	rank_106	rank_107	rank_108	rank_109	rank_110	rank_111	rank_112	rank_113	rank_114	rank_115	rank_116	rank_117	rank_118	rank_119	rank_120	rank_121	rank_122	rank_123	rank_124	rank_125	rank_126	rank_127	rank_128	rank_129	rank_130	rank_131	rank_132	rank_133	rank_134	rank_135	rank_136	rank_137	rank_138	rank_139	rank_140	rank_141	rank_142	rank_143	rank_144	rank_145	rank_146	rank_147	rank_148	rank_149	rank_150	rank_151	rank_152	rank_153	rank_154	rank_155	rank_156	rank_157	rank_158
59	55167	71932	83200	92799	99520	105684	113220	118444	123151	127898	132377	136545	140703	144633	148680	152487	156275	159955	166243	172648	176065	179546	183297	186446	189863	192992	196412	199291	202232	205586	208710	211544	214505	217104	219834	222573	225208	228048	230992	233592	237723	240151	242684	245153	247586	250045	254662	257051	259575	262557	264756	267308	269591	271935	274401	276351	278868	281279	283255	285288	287749	290056	292119	294439	296501	298997	301133	303102	305443	307586	309792	311832	313648	315204	317109	319099	320900	322944	324770	326752	328412	330117	332227	333884	335530	337230	338974	340225	341848	343540	345534	347232	348855	350550	352100	353895	355494	357078	358662	360100	361645	363257	364728	366196	367530	369126	372254	373668	375247	376607	378087	379538	380899	382229	383569	384828	386110	387241	388584	389640	390853	392133	393304	394371	395430	396581	397818	401560	402827	404071	405216	406350	407439	408529	409920	410667	411666	412621	413652	414889	414896	416002	416902	417809	418825	419860	420865	422144	423038	424118	425115	426142	427056	427970	428906	429840	430678	431426
60	55878	74586	85635	95225	101840	107844	113215	117940	122608	127190	131375	135715	140082	143229	146791	150451	154914	158343	166943	170226	173749	177027	179985	185391	189178	192215	194849	197873	200869	203994	207068	210006	212759	215538	218374	221214	229262	231967	234494	237036	239588	241850	245417	247844	251192	253583	256036	257937	260245	262498	264967	267216	269991	272318	273673	276169	278462	279628	281981	284240	286312	288658	290287	292439	294657	296804	299131	301003	303243	305030	306914	308994	310909	312645	313728	315839	317724	319794	326259	328543	330227	332176	334022	335783	337455	339352	341209	342897	344772	346328	348318	350077	351763	353289	354842	356428	358109	359507	360857	362282	363842	365340	367167	368889	370527	372273	373717	374543	375980	377634	378821	380491	381858	383136	384490	385849	387146	388385	389645	390839	392029	393336	394548	395913	397088	398245	399498	400543	401798	403081	404203	405158	406310	407532	408538	409777	410967	412112	413431	414362	415626	416484	417344	418298	419385	420178	420606	421075	422160	423227	424293	425382	426437	427876	428774	429617	430555	431426
61	55126	73369	85837	94197	100966	106944	112677	117374	121242	125324	129376	135873	139845	146313	150213	153867	157524	161153	164468	167982	171303	174686	177920	181133	184416	187524	190862	194003	197115	199979	202879	205743	211216	214111	217097	219902	222916	228982	231791	234029	236603	239079	241989	244344	246167	248784	251412	253721	258587	260959	264763	267388	269607	271929	274172	276252	279831	282225	284423	286344	288909	291291	293914	296464	298943	301208	304611	307130	309111	309122	311349	313122	315462	317130	319060	321151	323037	325118	326937	328989	330749	332658	334443	336952	338643	338653	340364	342088	343587	345291	346953	348492	349787	351443	353022	354522	355889	357561	359077	360814	362366	363893	365649	367178	368695	370205	371677	373283	374826	376302	377663	379101	380592	381799	382406	383896	385101	386363	387635	389040	390271	391640	392917	394214	395259	396696	397927	399411	400705	401760	403049	404205	405467	406691	407820	409053	410123	411247	412346	413533	414630	415547	416561	417410	418480	419456	420449	421531	422494	423352	424042	425104	426554	427476	428526	429552	430418	431426
62	55878	74020	85781	94038	100892	106697	112028	117030	121347	125823	129934	134113	137899	141813	148792	153170	156819	160229	163287	166493	169893	173163	176276	179969	183276	186458	189540	191973	195103	198153	201103	203894	206488	209305	212262	214513	217851	220694	223207	226302	228978	231473	234973	237403	240904	243219	245866	248223	250739	253270	255580	258902	261038	263513	265583	267805	269912	272108	274691	277112	279300	281408	283515	285531	287828	289926	291921	293537	295393	300054	302597	304510	306588	308568	310635	312525	314460	318910	320703	322736	324656	326405	328287	330095	331945	333730	335335	339408	340604	340615	342579	344560	346037	347496	349026	350543	352139	353719	355446	357007	358357	359722	361226	362550	363913	365333	366762	368510	369933	371458	373032	374436	375816	377159	378544	380156	381323	382871	384122	385795	387087	388090	389455	390710	391835	396837	397991	399031	400260	401486	402592	403667	404744	406177	407549	408838	409839	410928	412402	413423	414489	415624	415632	418520	418966	419878	420526	421517	422583	423639	424573	425615	426627	427590	428565	429357	430390	431426
63	55580	74423	86091	94767	101792	107393	112784	117848	123248	127537	133076	137179	143599	147677	152150	155678	159533	162901	166374	169792	173131	176402	179691	182703	188571	191601	194661	197513	200602	203576	206346	209035	211957	214621	217770	220373	227843	230106	232799	235670	238459	241463	244092	247150	249534	251553	254079	256612	258938	261613	264251	266674	269079	271436	273603	275721	278031	280176	281977	284127	286242	287855	290035	292305	294248	295443	297495	299471	302070	304267	306362	308544	310582	312467	314305	316195	318013	321978	323866	325870	327897	329740	331744	333538	335277	337048	338659	340371	342127	343843	345469	347312	348875	350637	352248	353837	355653	357111	358620	360682	362199	363698	365403	366783	368027	369556	371361	374609	376075	377727	378330	379694	381026	382323	383619	384843	386246	387470	388787	390426	391870	393339	394737	395721	396881	398081	399065	400225	401641	402921	403838	404854	406056	407071	408076	409199	410197	411323	412609	413503	414553	415743	416579	417836	418869	419903	421000	422063	423222	424157	425104	426318	427251	428281	428828	429770	430522	431426
64	54824	72891	84408	93642	99958	106070	111803	122004	125294	129752	134767	138735	142667	147275	151001	154761	158596	162234	165833	169251	172569	176495	179974	183017	186486	189500	192415	194908	197317	198966	201696	204531	207529	210434	213257	216127	218961	221746	224828	227608	230340	236124	238573	240913	243524	246247	249000	251530	253282	255690	258014	260446	262898	265299	267717	270076	272265	274296	277686	279951	282165	284266	286546	288672	290275	292392	294445	296284	298434	300609	302599	304656	306494	308527	312516	314486	316286	318401	325004	326386	328397	330425	332389	333983	335650	337426	339115	340879	342859	344309	345898	347666	349281	350933	352578	354742	356289	357820	359191	360713	362231	363776	365214	366977	368443	369718	371219	372738	373946	375471	376854	378272	379688	381022	382831	384335	385461	386923	388208	390075	391194	392685	394057	395360	396847	398070	399181	400265	401514	402888	404288	405506	406764	408049	409206	410044	410561	411672	412683	414076	415163	416151	416781	417632	418246	419306	420289	421198	422290	423912	424875	425917	426928	427870	428694	429564	430546	431426
65	56089	74225	85266	95416	102566	109491	115065	120135	124918	129637	133772	138044	146743	150749	154478	158289	162012	165789	169368	173050	176121	179430	182631	185868	187457	190492	193657	196783	199287	202273	204957	207879	210793	213633	216458	219296	221727	224487	227299	229898	231810	235068	237671	240312	243665	246141	249049	251544	253916	256659	258913	261459	263874	266271	268505	270760	278178	280567	282967	285082	287190	289762	291906	294127	295350	297460	299045	301121	303118	305152	307181	309175	311284	313166	315090	316991	318752	320681	325976	327999	329851	331700	333468	335627	337243	338154	339823	341921	343509	345330	348120	349783	351348	352859	354522	356504	358260	359813	361151	362661	364540	366052	367312	368862	370425	371864	372520	373809	375361	376948	378248	379622	381035	382459	384050	385443	386769	388151	389475	390765	391931	393275	394455	395664	397038	398178	399480	400713	401689	402780	403942	405104	406225	407553	408450	409524	410569	411626	412974	414032	415179	416323	417140	418219	419196	420277	420821	421823	422961	423815	425298	426262	427066	427880	428756	429760	430562	431426
66	55602	73557	85761	93365	100152	106139	112115	116903	122202	126607	130952	134947	138612	142476	147734	151612	154442	158423	164650	168127	171365	174614	177216	181548	184742	188126	191241	194164	198343	201229	204593	207528	210609	213371	215717	218631	221550	224155	227061	229951	232426	235158	237789	240279	242488	245143	247535	249903	252536	254984	256913	259462	261759	264091	266605	268992	271432	273701	276129	278188	280584	282627	284672	286733	288848	290814	295206	297286	299254	301156	301168	303130	305108	307412	309369	311358	313535	315612	317474	319320	321584	323470	327459	329315	331067	332845	334528	336091	337679	341920	343400	345438	345455	347160	348633	350285	351765	353127	354659	356128	357824	359249	360869	362229	363889	365317	366735	368109	371162	372465	373812	375297	376655	378215	379487	381067	382393	383600	385275	386515	387737	388953	390365	391603	392656	394225	395405	396593	398138	399268	400542	401775	402831	403973	404941	406077	407298	408569	409744	411000	412017	413108	414207	415141	416148	417006	418036	421881	422844	423584	424544	425624	426521	427272	428477	429632	430732	431426
67	55494	73508	84441	93410	100423	104731	110303	115258	120485	127625	132154	138004	142510	147047	150758	154646	158263	164460	168163	171722	175818	179257	182564	185132	188175	191312	194281	196857	199994	203093	206168	209155	212112	215642	218260	221078	224424	226711	229803	232499	234960	237546	240805	243761	246486	248984	251782	254393	256779	258745	261008	263414	265750	268264	270798	273251	275537	277878	280197	281706	283766	286016	288048	289904	292043	294205	296328	298425	299834	301813	303755	305639	307792	309682	311708	313771	315792	317797	319971	321716	326025	327746	329537	331327	333003	334593	336335	337842	339902	343854	345531	347545	349545	351201	352812	354406	355735	357284	359092	360568	362169	363566	365007	366490	368161	369553	371034	372436	374018	375413	376805	380876	382344	383715	385137	386528	388002	389338	390682	391888	393136	394123	395425	396726	397972	399361	400825	402171	403288	404497	405742	405750	406968	408188	409311	409322	410394	411464	412543	414072	415041	416003	416983	417960	418882	419983	420965	421919	422877	423933	424952	426136	427233	427960	428922	429658	430616	431426
68	55616	73886	85086	94817	101392	107668	113175	118267	123121	127748	131801	136130	139808	143921	147781	151624	155812	159388	164597	170680	176808	180784	185177	188356	191447	195649	198812	201756	204196	207198	210008	212949	215951	218551	221462	224425	227176	229911	232725	235494	238081	241898	244177	246885	249445	251978	254423	257657	260213	262754	265076	267450	269650	272126	274131	276593	278809	280777	283063	285269	287400	289647	291744	294150	296017	298075	299871	306754	308870	310875	312760	317196	319438	321390	323178	325281	327351	328741	330564	332201	333993	335706	337352	338834	340577	342619	344364	346140	347713	349089	350984	352795	354285	356029	357489	357497	359320	361038	361048	362670	363312	364767	366266	367857	369366	370797	372310	373587	374879	375964	377386	378776	380200	381627	382850	384284	385705	387069	388723	390061	391345	392651	393738	394992	396275	397472	398644	399830	401084	402494	404103	405329	406310	407486	408657	409375	410396	411512	412572	413715	414881	416186	417189	418159	419213	420062	421128	422038	423156	424198	425282	426188	426770	427710	428689	429643	430629	431426
69	55322	73382	84794	94762	101553	107548	112986	117174	121798	126368	130584	134556	138561	142373	146509	150070	153948	157424	161309	164777	167970	171603	179979	184001	186861	189695	192835	196067	199590	202871	205930	208765	211629	214443	217047	219003	221859	224533	227314	230211	237488	239999	242519	244943	247682	250379	252787	255246	257742	260985	262904	265186	267399	269484	270870	272962	275673	278113	280438	282871	284995	287051	289318	291485	293666	295894	297021	299242	300291	302331	304270	306392	308442	310404	312324	314317	316378	318379	320005	324166	325913	327762	329393	331145	332821	334727	336398	338180	339991	341683	343426	345326	347168	348905	350927	352509	353967	355581	357977	359591	360836	362395	363794	364912	366516	368502	370218	371954	373398	374927	376330	377886	379305	380654	381903	383501	384645	386022	387328	388820	390187	391375	392662	393938	395237	396463	400167	401348	402532	403790	405060	406135	407206	408351	408362	408928	409865	411075	411944	412712	413823	414837	415860	416984	418140	419231	420276	421299	422384	423409	424285	425411	426356	427467	428513	429325	430097	431426
70	54547	72348	83510	91735	98724	104450	111292	117248	121973	126517	130797	139482	143356	147609	151222	156220	159706	163205	166888	170427	173989	177494	180871	183720	186795	189954	191326	194551	198278	201277	204327	207445	210341	213103	215553	218219	221050	223420	226276	228752	231360	234096	235545	238227	241139	243649	246221	248679	251027	253460	255997	258480	261082	263571	266295	268423	271185	273336	275873	278061	280263	282380	284425	286643	288559	290898	292749	295257	297309	299040	300980	302696	304603	306488	308259	310547	312364	314884	316430	321187	322819	324753	326660	328525	330287	331977	333766	335888	337425	339327	340788	342309	343444	345260	346796	348386	349977	352886	356831	358040	359615	361418	362959	364471	366276	367723	369037	373075	374403	375968	377274	378591	379898	381275	382760	384237	385664	387094	388729	390028	390036	391428	392742	394108	395273	396567	397910	398987	400115	401312	402587	403702	405031	406291	407422	408346	409380	410448	411667	412955	414321	415349	416258	417017	418133	419255	420568	421643	422634	423582	424635	425565	426347	427311	428519	429446	430447	431426
71	58526	77518	88290	96564	103497	109449	114798	119758	123624	128166	132351	136705	140794	144661	150088	154052	157699	160983	166975	170242	173630	176895	180379	184943	188470	191597	194731	197776	203155	208290	211155	213874	216870	219713	223081	225752	228997	231707	234359	236865	239332	242108	244889	248185	250579	253027	255476	257778	260159	262449	264766	266769	269077	271588	273852	275557	278041	280295	280305	282653	284761	287290	289329	291426	293486	295601	298071	300182	302353	304640	306496	308514	310669	312676	314610	316480	318278	319997	321861	323594	325285	327098	329077	330675	332206	334261	335842	337452	339139	340919	342640	344748	346176	347726	349359	351089	352718	354208	355724	357472	358700	360159	361700	363241	364530	366085	367681	369329	371134	371147	372866	374174	375604	376960	378312	379564	380869	382360	384113	385239	386577	390686	392012	393332	394649	395869	397376	398566	399720	400903	401945	403185	404360	405312	406621	407787	409032	410228	413205	414149	415004	416089	416963	417568	418485	419518	420548	421581	422753	423803	424755	425689	426715	427785	428550	429293	430507	431426
72	55651	73547	86208	94206	101919	108297	114258	119385	125317	129860	134341	138439	142484	146446	150225	153410	157506	163643	167411	170796	174182	179797	183298	188567	191608	194686	197753	200891	203678	206622	209518	212807	215671	218764	221779	224713	227395	230017	232903	235651	238332	241142	243062	245717	247841	250302	252732	255349	257983	260613	263166	265383	267876	270332	272685	274835	277016	279151	281346	283668	285817	288242	290437	292230	294485	296023	298318	300206	302747	304901	306774	308825	310868	312644	314211	316344	318075	320436	322223	324038	328225	330181	332081	334167	335844	337411	339024	340718	342465	344102	345779	345795	347655	349249	350780	352440	354039	355449	357086	358346	360283	361762	363251	364596	365940	367227	368604	370168	371519	372767	374163	375545	376714	379880	381214	382281	383526	384856	386081	387365	388591	389971	391468	392855	394132	395474	396624	398031	399166	400176	400818	402101	403193	404166	405288	406510	407623	408483	409545	410596	411655	412848	417774	418725	419771	420781	422081	423111	423971	424962	425915	426804	427696	428886	429817	429825	430710	431426
73	55837	73387	84657	93078	99881	106045	116605	124645	129445	133851	138113	142212	146075	150178	158615	162332	165951	169488	172785	176223	179553	182920	186317	189493	192721	195657	198683	201721	204761	208173	212320	214998	217974	220972	224222	227460	230123	232350	234875	237166	239935	242475	245083	247662	249533	255080	257349	260981	263057	265762	268009	270424	273945	276227	279036	281332	283471	285781	288352	290538	292603	294575	296771	298798	300575	302884	305037	307085	309669	311689	313620	315480	315494	317893	319708	321492	324231	325928	328332	330231	332010	333785	335678	337563	339344	340927	342699	345084	346890	348437	350240	352003	353757	355329	357056	358562	360354	361963	363490	365030	366564	367948	369381	370924	372340	373555	374794	376020	377366	378569	379840	381381	382758	384343	385615	386888	388211	389499	390999	392185	392956	394610	395568	396735	397953	398623	399817	401186	402512	403664	404728	405828	407054	408095	409657	410776	411708	412786	413872	414334	415367	416584	417698	418548	419656	420296	421323	422350	422910	423973	424994	425872	426689	427658	428493	429515	430590	431426
74	55072	72977	84446	92814	104217	110326	115783	120707	130629	135058	140184	145015	149041	152147	155902	159511	162572	166028	169406	172880	176452	179717	183346	186602	189988	193649	197980	200800	203742	206692	209561	212630	213970	216825	219665	222314	226506	228904	231401	234006	239616	243326	246655	249944	252666	255380	258402	260242	262536	264779	267200	269591	272070	274303	276831	279059	281328	283741	285870	288140	290377	292553	294544	297188	299061	300980	303042	305112	307269	309294	311455	313321	315386	317097	319409	321377	323433	325350	326913	328554	330322	332131	334071	335798	337999	339919	341685	343389	345153	346187	348012	349632	350518	352179	353591	355085	356797	358436	359413	361000	362544	364091	365728	367281	368390	370071	371627	373176	374529	376053	377568	378522	379688	381400	382673	384149	385678	387238	388445	389857	391299	392389	393660	395028	395990	397294	398482	399560	400723	401911	403465	404698	405962	407115	408531	409458	410452	411449	412558	413569	414605	415625	416681	417721	419160	419594	420428	421485	422544	423622	424865	425791	426866	427782	428748	429579	430311	431426
75	55492	73563	85086	92434	99479	105591	111194	116310	121237	125628	130115	135624	139526	143394	146895	150842	154347	158074	161669	165070	168360	171632	174820	177994	181102	184189	186207	189179	192184	195182	198210	201624	207311	210553	213376	216168	223503	226525	228995	231562	234152	236930	239370	241730	243929	246225	248869	250832	253314	255864	258128	260345	263431	265539	267621	269758	272209	274342	275294	277382	279544	281960	283899	286427	288638	290769	292899	295646	297627	299632	301454	303352	305111	307098	308735	310464	312241	314243	316131	319545	322087	324047	326221	328076	329852	331561	336045	338083	339784	341174	342988	344926	346846	348433	350291	351799	355037	356685	358242	359661	361153	362636	364768	366171	367723	369106	370512	375590	377243	378694	379899	381227	382644	384019	385546	387142	388489	389864	391204	392528	392538	393787	395076	396380	397669	398925	400244	401430	402678	403608	404823	405517	406581	407505	408442	409708	410650	412155	413329	414459	415476	416658	417574	418610	419565	420612	421733	422683	423449	424631	425579	426553	427311	427901	428807	429695	430509	431426
76	55322	73401	84327	91845	98713	104574	109924	115961	119931	125608	129984	134148	138261	142034	145709	149628	154494	157932	161453	164991	168315	172723	175994	179446	182761	190382	193968	196966	200185	203263	206079	209242	212187	215097	217833	220698	223839	226406	228926	231674	234187	236327	239233	241825	246396	249046	251488	253987	256757	259059	261385	263751	265857	268086	270260	272387	274680	277115	279332	286716	288840	290979	293285	295606	297655	299818	302187	304200	306526	308469	310268	312526	314501	316599	318488	320551	322322	323879	329095	330828	332277	333333	335668	337585	339179	340826	342657	344260	345942	347861	349714	350700	352468	353661	355436	357239	358795	360448	362013	363571	365140	366660	368160	369955	371316	372600	374035	375532	376998	378266	379632	380829	382183	383652	384693	386260	387653	388986	388996	390216	391631	392899	394254	395719	397068	398234	399473	400724	401842	403042	404177	405319	406468	407411	408083	409101	410244	411307	412237	413159	414281	415438	416654	417612	418670	419967	420952	422143	422558	423597	424576	425879	426883	427814	428545	429577	430584	431426
77	55452	73788	84646	93416	100326	107222	113021	118076	122962	127481	130266	134159	137427	141325	144958	148836	152551	157866	161656	165112	168636	172377	175546	183440	189257	192491	195718	198762	201757	204642	207714	210754	213369	216295	219002	221537	224705	226946	229540	233373	236017	238530	241492	242711	245366	248192	250847	253179	255642	258142	261906	264505	267212	269615	274613	276937	278771	281141	283369	285357	287371	288495	290343	292570	297883	301014	303403	305534	307745	309629	311493	313547	315467	317321	319185	321296	323048	324789	326959	328210	330114	332061	333892	335386	337300	339236	340770	342670	344277	344923	346595	348311	349814	351687	353045	354655	356399	357793	359579	361230	362737	364355	366013	367494	367505	369096	370549	372048	373494	374877	376690	377522	378665	379966	381240	382607	384089	385835	387283	388777	389915	391265	392552	393773	395020	396219	397591	398992	400228	401369	402592	403765	404900	406314	407516	408678	410048	411054	411918	413086	414130	415098	416113	417225	418083	419171	420197	421353	422369	423338	424625	425599	426647	427556	428530	429428	430471	431426
78	55644	73772	85099	93530	100471	106514	112204	117342	121224	126130	130357	134563	138529	142514	146403	150264	154147	160152	163462	166669	169364	172451	181012	184390	187439	190605	193772	196825	202142	204645	207975	210752	213679	216995	219896	222412	225529	229408	232267	234787	237510	240077	242660	245110	247654	250013	253067	257757	260105	262598	265139	267506	270361	272518	274579	276914	279343	281756	283292	285813	287813	289898	291953	294249	296459	298551	300675	302823	304675	306752	308792	310712	312629	314403	316015	318113	319875	321745	323566	325244	327184	329038	330871	332627	334495	336280	338366	340195	341880	343494	344968	346845	348529	350251	351924	353508	355182	356588	357468	358859	362951	364530	365988	367182	368815	370215	371761	373286	374904	376538	377789	379158	380506	382065	383388	384690	386033	387214	387889	389354	390600	391884	393273	394336	394344	397390	398594	399733	400924	401936	403092	404166	405546	406739	407800	408992	410118	411287	412500	413828	414928	416153	417283	418293	419184	420214	421210	422528	423699	424651	425729	426518	427110	428026	428955	429800	430668	431426
79	55009	71970	82930	91134	98226	104088	110159	115349	119881	124303	129118	133263	138866	142491	146224	149905	153460	157196	160806	164229	167014	170243	173387	176582	179808	182952	186057	188538	191773	196960	199719	203295	206251	209319	211848	214557	217230	221671	224660	227421	230172	232679	235385	237970	240160	242533	244923	247393	249128	251324	253497	255898	258234	260714	268112	270661	273207	275804	278003	280758	283004	285184	287056	289053	292256	295611	300326	302476	304619	306702	308839	310899	312516	314889	317801	320007	322074	323779	325879	327611	329050	330690	332867	334648	336352	340669	342370	343935	345588	347334	349157	350802	351564	353152	354767	356521	358273	359941	361472	362941	364258	365594	367145	368593	370076	371568	373061	374235	375789	376984	378679	380133	381522	382946	384246	385557	386791	388076	389479	390787	391940	392514	393722	394980	396175	397341	398355	399550	400900	402029	403127	404291	405490	406631	407821	408970	410365	411427	412552	413409	414532	415556	416665	417730	417738	418819	419694	420745	421855	422758	424022	425083	426184	427099	428202	429114	430455	431426
80	55837	74119	86273	94745	101467	108614	113887	118959	123519	128135	132264	137553	141664	147614	151007	154686	158483	161943	165027	168254	171686	175014	178002	183794	187145	190355	193384	195483	198634	201581	204408	208342	211368	214475	217367	220217	222893	226959	229802	232334	235483	238228	240937	244474	246922	249261	251199	258023	260561	263120	265533	267997	270442	272818	274976	276812	278922	281309	283598	286035	287922	290223	292485	294432	296692	298899	301054	303534	305493	307632	309156	311278	313670	315667	316924	318866	320791	322163	324553	326472	328215	329738	331668	333510	335773	337874	339594	341369	342969	344753	346614	348293	349777	351379	353041	354736	356472	358300	359957	361449	362124	363569	364942	366201	367658	369086	370389	371840	373118	374481	375932	377404	378872	380641	382019	383179	384663	385923	389062	390503	391182	392412	393766	395239	396477	397671	398875	400196	401401	402880	403567	404547	405619	406819	408024	409169	410457	411606	412691	413757	414846	415894	416800	417910	418977	419992	420904	421900	423021	423994	424932	425878	426873	427882	428772	429690	430390	431426
81	54904	74327	86149	94252	100766	105224	110814	115865	120458	124867	129128	133715	138527	142336	146180	149736	153228	156895	160262	163656	166678	169823	172971	178915	182184	185473	188556	191596	194665	200144	203063	206156	209376	212328	215028	217569	220261	222923	225574	229663	232252	234884	237517	240012	242500	245255	247704	249806	252238	254738	257143	259470	261894	264438	266232	271802	274155	276286	278404	280729	282936	285622	288192	290239	292352	294675	296760	300270	302214	304057	306275	308358	309831	312015	313994	315842	317510	319357	321187	322906	324600	326311	328305	330187	331957	333639	335601	337152	338634	343066	344796	348020	349507	351447	352997	354464	356107	358767	360430	361746	363314	365145	366409	367643	369373	370841	372198	373593	375077	376537	378032	379993	381375	382676	384408	385563	386916	388188	391216	392578	393248	394374	395664	397327	398406	399630	400836	402016	403288	403296	404605	405610	406937	408004	409067	410208	411165	412121	413040	414205	414681	415730	416827	417876	418961	420034	420874	421996	422840	423784	424538	425591	426641	427660	428631	429623	430566	431426
82	55255	73536	85851	92663	101951	110381	116023	124012	128790	133272	137825	142002	146023	149996	152393	156001	159741	163643	166922	170482	173696	179158	184933	187966	191222	194202	199094	201963	205011	207850	213573	215867	218730	221846	224600	227523	230279	233349	236217	239341	241957	245229	245245	247608	250117	253038	255594	257562	260384	262818	265227	268104	270378	273207	275536	277682	280017	282222	284469	287067	289424	291711	293376	295317	297404	299438	301557	303769	305823	308100	310134	312075	314578	316753	318629	320548	322291	324211	326184	328203	330050	331851	331870	333728	335471	337170	338784	340489	342317	344004	346195	347758	349379	351013	352481	354195	355648	357332	358883	358893	360372	361917	363622	365065	366452	367811	369465	370866	372328	373945	375525	376736	379113	380615	382101	383651	385047	386403	387467	388666	390199	391590	392891	394180	395309	396562	397936	399575	400931	402127	403246	404450	405660	406830	407967	409058	410088	411307	412835	414044	415160	416303	417148	418397	419383	420383	421296	422323	423352	424452	425541	426335	427283	428038	429032	429770	430522	431426
83	54894	73125	84546	93490	100515	106373	111323	116651	121412	126151	130173	133999	137892	141573	145304	149122	155411	160716	163827	167438	170818	174213	177501	180656	185111	188450	191404	194412	197556	200519	203864	206778	209618	212531	215313	218068	220858	224089	226906	229639	232099	234551	238378	240970	242805	250347	252766	255638	258121	260519	262844	265106	267425	269680	272381	274689	276959	278856	281177	283217	285457	288737	290785	292750	294752	296836	298155	300296	302243	304331	306246	308402	310619	312546	314544	316453	318367	320277	322197	324455	326259	328051	329773	332172	333784	335550	337348	339280	340947	342532	344282	345870	347463	348390	352252	353914	355565	356999	358550	360079	361581	363075	364921	366287	366295	372591	374000	375579	377172	378489	379807	381140	381996	383895	385239	386445	387576	388944	390124	391723	392984	394242	395441	396405	397731	398257	399542	400632	401687	402990	404119	405436	406683	407927	408867	409818	410949	412138	413409	414510	415668	416640	417518	418563	419738	420578	421580	422602	423673	424694	425689	426719	427715	428249	429046	429757	430542	431426
84	55985	74817	88697	96764	105488	114032	119217	124483	129198	133376	137924	141968	146053	149911	153878	157692	161241	164737	168313	171760	175610	179014	182246	185294	188681	191934	194981	197965	200905	204101	207997	211223	214412	216479	219498	222738	225010	227751	230605	233447	236036	238849	240890	243330	245707	248387	251090	253459	255974	258619	263037	265277	267633	269939	272310	274968	279886	282134	284483	286803	288470	290675	292741	294698	296733	298642	300809	302388	304224	306250	308038	310181	312052	314236	316042	317955	320033	322004	323752	325949	327960	329866	331939	333715	335764	337451	339167	341379	342904	344580	346374	348073	351286	352760	354122	355844	357407	358934	360341	363538	365195	365947	367479	369038	370455	371957	373322	375276	376851	378152	378161	379782	381545	382874	384323	385582	386742	387988	389187	390539	391965	393407	394726	396036	397246	398255	399500	400482	401710	402995	404242	405441	406635	407832	409010	410158	411214	412550	413572	414646	415674	416601	417641	418630	419943	420974	422051	423091	423999	424891	425903	426663	427424	428212	428896	429464	430464	431426
85	55762	74137	85496	94122	100198	106129	111667	115143	120087	124549	128881	133106	137200	141345	144970	148832	152260	155884	159200	162421	165598	168741	171739	174886	177711	181557	184894	188233	191197	194184	196793	199479	202105	205004	207965	210792	213401	221288	224257	227057	228540	230991	235400	239345	241333	244039	246580	249533	251810	258908	264424	267059	269531	272253	274821	277353	280069	282408	285092	287150	289263	291478	293699	295825	297817	299867	302448	304532	307345	309342	311295	313231	315244	317155	319039	320955	322809	324817	326611	328354	330044	331725	332530	334328	336435	338299	339772	342499	344413	345978	347686	349401	350958	352712	354079	356080	357485	359002	360878	362413	363797	365455	367116	368514	370086	371511	372988	374315	375791	377015	378289	379908	381186	382587	384083	385560	386797	388206	389479	390796	391991	393326	394550	395303	396590	397895	399189	400129	401533	402699	403979	405397	406471	407652	408248	409323	410471	411552	412427	413307	414469	415750	416863	417877	419038	419975	420942	421928	422923	423839	424482	425548	426500	427337	428391	429412	430290	431426
