Permutation	rank_1	rank_2	rank_3	rank_4	rank_5	rank_6	rank_7	rank_8	rank_9	rank_10	rank_11	rank_12	rank_13	rank_14	rank_15	rank_16	rank_17	rank_18	rank_19	rank_20	rank_21	rank_22	rank_23	rank_24	rank_25	rank_26	rank_27	rank_28	rank_29	rank_30	rank_31	rank_32	rank_33	rank_34	rank_35	rank_36	rank_37	rank_38	rank_39	rank_40	rank_41	rank_42	rank_43	rank_44	rank_45	rank_46	rank_47	rank_48	rank_49	rank_50	rank_51	rank_52	rank_53	rank_54	rank_55	rank_56	rank_57	rank_58	rank_59	rank_60	rank_61	rank_62	rank_63	rank_64	rank_65	rank_66	rank_67	rank_68	rank_69	rank_70	rank_71	rank_72	rank_73	rank_74	rank_75	rank_76	rank_77	rank_78	rank_79	rank_80	rank_81	rank_82	rank_83	rank_84	rank_85	rank_86	rank_87	rank_88	rank_89	rank_90	rank_91	rank_92	rank_93	rank_94	rank_95	rank_96	rank_97	rank_98	rank_99	rank_100	rank_101	rank_102	rank_103	rank_104	rank_105	rank_106	rank_107	rank_108	rank_109	rank_110	rank_111	rank_112	rank_113	rank_114	rank_115	rank_116	rank_117	rank_118	rank_119	rank_120	rank_121	rank_122	rank_123	rank_124	rank_125	rank_126	rank_127	rank_128	rank_129	rank_130	rank_131	rank_132	rank_133	rank_134	rank_135	rank_136	rank_137	rank_138	rank_139	rank_140	rank_141	rank_142	rank_143	rank_144	rank_145	rank_146	rank_147	rank_148	rank_149	rank_150	rank_151	rank_152	rank_153	rank_154	rank_155	rank_156	rank_157	rank_158
49	60200	77637	89418	97934	105183	111264	116823	121930	127690	132396	135353	139714	143896	147853	152160	155328	159072	162932	165326	168970	172333	175692	178998	182159	185462	188053	191855	195544	198600	201738	204815	208361	211933	215101	217873	220530	223306	226211	228753	231870	234425	237071	239567	242613	245691	248386	251083	253753	256173	258372	260378	262218	264066	266509	268757	271112	273157	275632	277743	282482	284400	286636	288666	290456	292745	294768	296789	298824	301014	303259	305386	307065	309032	310991	312704	314465	316535	318216	319772	321794	323640	325386	327131	328768	330731	332532	334217	335975	337881	339351	340977	345404	348613	350286	351892	353570	355291	356520	358301	359678	361162	362838	364379	365918	367545	369077	370479	371945	372576	373984	375708	377297	378792	380172	381439	382757	384239	385789	386957	388219	389492	390909	392147	393297	394502	395855	397132	398659	399683	400831	401946	403253	404192	405601	406692	407902	410923	411378	412446	413668	414585	415772	417028	418114	418970	419581	420588	421737	422727	423704	424722	425668	426706	427710	428680	429688	430615	431426
50	55525	73511	84936	93369	100396	107629	114740	119890	124183	129647	133809	137520	143943	148074	152220	155990	159606	163082	166706	170404	174357	177900	181017	184296	187374	190472	193627	196943	199755	202376	205264	208364	211644	214557	220089	222935	225642	228418	230990	233724	236727	239344	241995	244695	247242	249750	252145	254571	256864	259104	264482	266864	269330	271597	273953	276137	278499	281254	283512	285705	287807	289961	291688	293777	295688	297666	300323	302441	304535	306368	308045	310043	311558	312883	314802	316629	320802	322839	324736	326433	328335	330289	332020	333821	335447	337046	338724	340282	341926	343273	344976	346492	349698	351297	352834	356975	358808	360530	362078	363849	365482	367092	368525	370082	371615	373262	374536	375843	377228	378671	379898	381320	382840	382850	384144	385446	387006	388358	389942	391273	392595	393986	395259	396441	397728	398481	399520	400722	402020	403413	404487	405575	406645	407820	408953	410059	411125	412094	413223	414349	415268	416393	417444	417451	418203	419237	420327	421140	422136	422995	424083	425352	426365	427255	428509	429494	430524	431426
51	55580	72410	83508	92189	99023	105076	110656	115575	120522	125587	130028	134677	138606	142526	146232	149785	153475	157078	160559	166162	169493	172778	175982	178962	182275	185303	188697	191859	194823	197185	200570	203358	206179	208747	211390	214371	217223	219803	222497	225015	227377	229824	232574	235176	237874	245477	249490	252069	254574	256790	264295	266692	268993	271158	273426	275548	277587	279985	282197	284073	286015	288262	290277	292167	295041	296364	298494	299960	301466	303240	306313	308439	311583	313443	314618	316433	318449	320495	321579	328172	330373	332023	333626	335565	337378	339164	340888	342898	344599	346802	348645	349541	351347	353333	355147	356660	358213	359824	361357	363017	364686	366131	367580	369165	370711	372252	373864	375192	376497	378041	379285	380572	382047	383291	384440	385707	387049	388401	389812	391112	392329	393792	395022	396249	397844	399028	400116	401278	402424	403641	404867	406068	407206	408255	409386	410740	411727	412811	413858	415062	416150	417361	418372	418967	420108	421078	421502	422590	423533	424498	425308	426251	427094	428067	428921	429915	430629	431426
52	55287	73306	85619	94126	100971	107460	112823	118295	122946	127146	131043	135459	144542	148452	150982	154994	158804	162831	166612	170088	173546	176473	180080	183340	186406	189516	192487	195619	198397	201433	204428	207186	210040	212682	215386	218294	220775	223018	225675	228348	230988	233420	237624	240400	247656	250120	252640	255805	258142	260503	263170	265555	268303	270617	272861	275081	277458	279596	281784	283966	286059	288654	290564	293253	295042	297111	299080	301194	302969	305206	307283	309088	311141	312978	317885	321331	323386	325398	326393	328221	330363	331995	333687	335698	337459	338974	340629	342304	343990	346012	347820	349513	351164	352738	354328	355929	357643	359171	360714	362228	363844	365285	366727	368655	370210	371571	372873	374482	375946	377311	378606	379365	380886	381491	382287	383509	384727	386120	387557	389001	390296	391641	392850	394492	395732	396998	398415	399480	400527	401743	403098	404387	405411	406354	407508	408688	409725	410784	411878	413015	414271	415274	416464	417555	418674	419817	420838	421881	422850	423658	424439	425690	426695	427644	428817	429640	430505	431426
53	55322	73331	84547	94730	101885	106363	111934	116852	121775	126401	131465	135934	139502	143529	146748	150608	154426	158358	166442	169818	173263	176631	180442	183320	186445	189757	192715	195956	199055	201940	207378	210370	213286	215949	218871	221688	227069	229574	232352	235650	237969	240919	243533	246053	248602	252381	254666	257573	259843	262175	264625	266867	269252	271871	273928	276177	279571	281900	285276	286449	288692	290790	292836	294964	297393	299633	302114	304238	306302	308232	310342	312364	314877	316945	318817	321111	323214	325166	326935	328648	330296	332337	334128	336103	338095	339834	341510	343274	344855	346658	348319	349991	351539	352787	354413	355728	357372	358977	360557	362293	363954	365492	366898	368270	369739	371293	372657	374051	375509	377057	377679	379094	380483	381821	382950	384147	385449	386702	388493	389786	390990	392285	393523	394782	395802	396952	398167	399369	400373	401517	402726	404148	405218	406601	407806	408896	410115	410943	412123	413429	414640	415594	416670	417553	418525	419542	420866	421882	422836	423675	424693	426124	426914	427823	428806	429638	430562	431426
54	57601	76101	87328	96401	103519	109540	114898	119975	124622	128334	132825	136907	141232	145020	148711	151710	155136	158918	162002	165537	168911	172188	175367	178433	181650	184592	187711	190649	193641	197204	200197	203164	205839	208617	211490	214454	217244	220016	223448	226087	229269	231838	234351	237017	239589	244917	247589	249996	252597	255022	257376	259721	262551	265150	268209	270184	272436	274684	276847	278546	280742	282830	284163	286408	293314	295919	297955	299951	302075	304399	306390	310378	312734	314507	316248	317385	319821	321670	323699	325732	327626	329590	331273	333071	334777	336595	338150	342294	344245	346365	348228	350304	351070	352716	354536	356065	357583	359095	360322	360334	361852	363420	365251	366799	368477	369787	371120	372657	374343	375651	377005	378438	380076	381436	382808	384549	385997	387169	388547	390060	391417	392511	393796	395156	396493	397938	398992	400220	401437	402512	403610	405044	406227	407401	408584	409598	410726	411809	412996	413922	414986	415960	416980	418040	418955	419809	420898	422056	422928	423847	424804	425681	426372	427374	428376	429285	430263	431426
55	53115	71202	82242	91101	98162	104559	110461	115563	120298	124395	133778	137998	142098	146208	150057	154466	158121	161830	165473	168822	172134	175496	178681	182154	185585	188635	191611	194775	197827	200779	204471	207361	210121	212559	215598	218354	222176	224892	227586	230140	232714	235318	237884	240374	244276	247367	250217	253184	255667	258092	260436	263152	265477	267941	270056	272437	274647	277037	279414	286367	288543	291536	293552	295621	298041	300036	302131	303884	305939	308055	309842	311810	313948	315953	317955	320115	322137	324002	325759	330481	332289	334410	336025	337743	339440	343613	345359	346994	347005	348254	349760	351230	352910	354553	356086	357808	359362	360808	362201	363816	365313	366874	368355	369903	371070	372551	374039	375436	376964	378406	379927	381164	382530	383888	385163	386560	387357	388822	390074	391328	392662	393973	395221	396626	397603	398782	400015	401627	402855	404011	405120	406194	407426	408867	409964	411131	412081	413172	414522	415600	416434	417419	418451	419425	420469	421359	422481	423358	424323	424900	425295	426256	427037	427823	428791	429772	430570	431426
56	56059	73952	83930	93312	99959	106151	110761	115926	120605	125092	129516	133637	139771	142996	147221	151178	154508	157991	161445	164324	167567	171104	174534	177769	181131	184215	187401	190442	193415	197555	200640	203423	206298	209236	212159	215007	217856	220570	223270	225995	228597	231296	233962	236549	239128	241935	244455	246912	254642	257037	259507	262028	264514	266556	269119	271522	273813	276051	278212	280414	283074	285250	287509	289526	294510	296653	298690	300941	303016	304847	307100	309242	315854	317669	319516	322276	324067	325770	327515	329245	331025	332828	335009	336481	338141	339603	341195	343099	344837	346874	348107	349870	351283	353034	354561	356145	357607	359172	360437	361520	363696	365593	366998	368654	370228	371639	372213	373657	375164	376586	377872	379326	379923	381367	382876	384233	385576	386802	388329	389445	390700	391942	393130	394378	395625	396827	397759	399049	400251	401502	402891	404165	405214	406331	407330	408546	409711	410928	413913	414751	416042	416923	417737	418849	419849	421217	422028	422618	423390	424367	425237	426135	426763	427776	428721	429496	430509	431426
57	55525	73372	84700	93033	99966	106271	111849	116656	121239	125306	129555	133927	137660	143188	146999	150853	154487	158894	165522	169498	173100	176669	179759	183024	186075	190365	193479	195046	198215	201236	204518	207592	210936	213705	216641	219581	222266	225261	232554	235125	237801	240389	243309	245638	248194	253496	255375	257985	260311	262840	265097	267403	269610	272050	274268	276573	278735	281008	283214	285306	288331	290475	292274	294515	296550	299451	301525	303564	305339	307133	309001	311318	313132	315168	316628	318841	320701	322586	325909	327896	329651	331271	333034	335131	336903	338684	340273	342033	343790	348025	349667	351870	353377	354868	356354	357982	359705	361065	362723	364075	365857	367143	368450	370006	371718	373127	374308	376094	377337	378704	379983	381474	382809	384180	385485	386784	388183	389437	390701	391952	391961	393239	394650	395768	396456	397771	398938	400140	401462	402731	403850	405166	406239	407223	408154	409497	410835	411985	413034	414521	415651	416572	417607	418698	419631	420600	421639	422646	423833	424670	425440	426403	427390	427789	428728	429617	430566	431426
58	54547	72803	83918	92331	99124	104892	110051	115212	119926	124594	129205	133553	137683	141749	145635	149404	153245	156003	164739	167909	171872	175283	178675	181460	184760	187874	191028	196360	199303	202230	205168	207855	210939	213788	216828	219590	222369	229774	231901	235687	238688	241207	244626	246965	249307	251860	254229	256405	258873	261355	264378	266887	269528	271906	274276	276612	278736	281079	282843	285033	286651	289428	291609	293754	294836	296929	298934	300196	302260	304240	306504	308387	310498	312638	314175	316178	318243	320169	321969	323823	325767	327530	329253	331022	332806	334566	336361	338081	339655	341656	343383	345035	346635	348201	349815	351315	352978	354401	356406	357953	359629	361115	362803	364194	365958	367742	369348	370781	372102	373304	374617	376266	377693	379056	380270	381448	382704	384060	385789	386989	388169	389535	390951	395095	396408	397569	398768	399757	400935	402084	403107	404231	405362	405879	407008	408125	409342	410267	411436	412367	415319	416297	417443	418599	419494	420728	421680	422586	423608	424620	425563	426485	427422	428277	428700	429664	430238	431426
