"Code","x","y","plot_type","plot_num"
"DR_SDN_2_01",0,1018.43654763365,"path",0
"DR_SDN_2_01",100,1018.43654763365,"path",0
"DR_SDN_2_01",107.226722201032,1018.43654763365,"path",0
"DR_SDN_2_01",114.975699539774,1018.43654763365,"path",0
"DR_SDN_2_01",123.284673944207,1018.43654763365,"path",0
"DR_SDN_2_01",132.194114846603,1018.43654763365,"path",0
"DR_SDN_2_01",141.747416292681,1018.43654763365,"path",0
"DR_SDN_2_01",151.991108295293,1018.43654763365,"path",0
"DR_SDN_2_01",162.975083462064,9300.77086518586,"path",0
"DR_SDN_2_01",174.752840000768,9300.77086518586,"path",0
"DR_SDN_2_01",187.381742286038,9300.77086518586,"path",0
"DR_SDN_2_01",200.923300256505,9300.77086518586,"path",0
"DR_SDN_2_01",215.443469003188,9300.77086518586,"path",0
"DR_SDN_2_01",231.012970008316,9300.77086518586,"path",0
"DR_SDN_2_01",247.707635599171,9300.77086518586,"path",0
"DR_SDN_2_01",265.608778294669,42288.3175503096,"path",0
"DR_SDN_2_01",284.80358684358,42288.3175503096,"path",0
"DR_SDN_2_01",305.385550883342,42288.3175503096,"path",0
"DR_SDN_2_01",327.454916287773,42288.3175503096,"path",0
"DR_SDN_2_01",351.119173421513,74028.4977703981,"path",0
"DR_SDN_2_01",376.493580679247,74028.4977703981,"path",0
"DR_SDN_2_01",403.701725859656,74028.4977703981,"path",0
"DR_SDN_2_01",432.876128108306,74028.4977703981,"path",0
"DR_SDN_2_01",464.158883361278,74028.4977703981,"path",0
"DR_SDN_2_01",497.702356433211,55974.601920322,"path",0
"DR_SDN_2_01",533.669923120631,55974.601920322,"path",0
"DR_SDN_2_01",572.236765935022,55974.601920322,"path",0
"DR_SDN_2_01",613.590727341317,55974.601920322,"path",0
"DR_SDN_2_01",657.933224657568,55974.601920322,"path",0
"DR_SDN_2_01",705.480231071864,26639.3988550156,"path",0
"DR_SDN_2_01",756.463327554629,26639.3988550156,"path",0
"DR_SDN_2_01",811.130830789687,26639.3988550156,"path",0
"DR_SDN_2_01",869.749002617784,26639.3988550156,"path",0
