Sample	Clusters
S8213	AA_T
S6941	DR_NT
S5468	IE_NT
S6942	DR_NT
S5960	DR_NT
S5405	IE_NT
S2532	IE_NT
S3498	IE_NT
S5616	IE_NT
S595	IE_NT
S2305	IE_NT
S8932	TB_T
S9309	IE_T
S2821	IE_NT
S5469	IE_NT
S3499	IE_NT
S2822	IE_NT
S9310	IE_T
S343	DR_T
S8441	TB_NT
S5961	DR_NT
S19	DR_T
S596	IE_NT
S20	DR_T
S8322	TB_NT
S3500	IE_NT
S2555	IE_NT
S5013	IE_NT
S5962	DR_NT
S5470	IE_NT
S538	IE_NT
S7351	DR_NT
S3501	IE_NT
S2823	IE_NT
S8953	IE_T
S489	DR_T
S3502	IE_NT
S8458	TB_NT
S2824	IE_NT
S3503	IE_NT
S8618	TB_T
S597	IE_NT
S8095	AA_T
S3504	IE_NT
S2825	IE_NT
S3505	IE_NT
S5963	DR_NT
S5452	IE_NT
S7817	AA_T
S2826	IE_NT
S5360	IE_NT
S9583	IE_T
S240	DR_T
S2827	IE_NT
S1921	IE_NT
S2828	IE_NT
S598	IE_NT
S599	IE_NT
S8337	TB_NT
S600	IE_NT
S8954	IE_T
S2395	IE_NT
S2677	IE_NT
S2829	IE_NT
S5964	DR_NT
S5370	IE_NT
S2346	IE_NT
S3506	IE_NT
S8955	IE_T
S8029	AA_T
S7352	DR_NT
S8956	IE_T
S5352	IE_NT
S3508	IE_NT
S2830	IE_NT
S5965	DR_NT
S601	IE_NT
S5966	DR_NT
S8851	TB_T
S6943	DR_NT
S5358	IE_NT
S5014	IE_NT
S8750	TB_T
S5015	IE_NT
S2577	IE_NT
S602	IE_NT
S3509	IE_NT
S3510	IE_NT
S8957	IE_T
S3511	IE_NT
S8464	TB_NT
S3512	IE_NT
S3513	IE_NT
S5967	DR_NT
S7969	AA_T
S5968	DR_NT
S5969	DR_NT
S21	DR_T
S2724	IE_NT
S603	IE_NT
S9311	IE_T
S3514	IE_NT
S5016	IE_NT
S8096	AA_T
S5970	DR_NT
S3515	IE_NT
S3516	IE_NT
S604	IE_NT
S605	IE_NT
S6944	DR_NT
S3517	IE_NT
S2606	IE_NT
S3518	IE_NT
S9312	IE_T
S1876	IE_NT
S2599	IE_NT
S3519	IE_NT
S7970	AA_T
S6945	DR_NT
S3520	IE_NT
S8958	IE_T
S22	DR_T
S8959	IE_T
S606	IE_NT
